,prod_id,prod_desc,prod_long_desc,theme_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating,ages,piece_count,set_name,country,list_price
9370,75161,blah,blahblah,Star Wars™,4.0,4.3,Easy,4.5,4.5,6-12,88,TIE Striker™ Microfighter,NL,12.1878
9371,75181,blah,blahblah,Star Wars™,1.0,5.0,Very Challenging,5.0,5.0,14+,1966,Y-Wing Starfighter™,NL,280.5878
9372,75192,blah,blahblah,Star Wars™,197.0,4.0,Challenging,4.8,4.4,16+,7541,Millennium Falcon™,NL,1035.78
9373,75166,blah,blahblah,Star Wars™,25.0,4.3,Very Easy,4.6,4.3,6-12,117,First Order Transport Speeder Battle Pack,NL,21.9478
9374,42056,blah,blahblah,Technic,143.0,4.2,Challenging,4.7,4.3,16+,2704,Porsche 911 GT3 RS,NL,402.5878
9375,42070,blah,blahblah,Technic,45.0,3.7,Challenging,3.5,2.9,11-16,1862,6x6 All Terrain Tow Truck,NL,329.3878
9376,42055,blah,blahblah,Technic,75.0,3.9,Challenging,4.6,4.6,12-16,3929,Bucket Wheel Excavator,NL,280.5878
9377,42078,blah,blahblah,Technic,22.0,4.5,Average,4.7,4.7,11-16,2595,Mack Anthem,NL,207.3878
9378,42069,blah,blahblah,Technic,19.0,4.5,Average,4.9,4.7,11-16,2382,Extreme Adventure,NL,170.7878
9379,42066,blah,blahblah,Technic,7.0,4.0,Challenging,4.9,4.7,10-16,1151,Air Race Jet,NL,158.58780000000004
9380,42064,blah,blahblah,Technic,14.0,4.6,Challenging,4.6,4.8,10-16,1327,Ocean Explorer,NL,121.9878
9381,42077,blah,blahblah,Technic,8.0,4.1,Average,4.4,4.1,10-16,1005,Rally Car,NL,121.9878
9382,42068,blah,blahblah,Technic,12.0,4.0,Average,4.8,4.6,10-16,1098,Airport Rescue Vehicle,NL,109.7878
9383,42065,blah,blahblah,Technic,28.0,4.6,Easy,4.5,4.2,9-16,370,RC Tracked Racer,NL,97.5878
9384,42076,blah,blahblah,Technic,5.0,3.8,Average,4.2,4.2,9-16,1020,Hovercraft,NL,91.4878
9385,42063,blah,blahblah,Technic,12.0,4.2,Average,4.7,4.4,10-16,603,BMW R 1200 GS Adventure,NL,67.0878
9386,42062,blah,blahblah,Technic,8.0,4.7,Easy,4.8,4.3,8-14,631,Container Yard,NL,67.0878
